"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"1190","BAL","2,045,784","25,257",29.9,28.6,97,97,3,3,11,"","Altobelli",1984,"2:40"
"1191","BOS","1,661,618","20,514",29.2,25.8,105,104,3,2,14,"","Houk",1984,"2:40"
"1192","CAL","2,402,997","29,667",31.7,31,99,100,2,2,13,"","McNamara",1984,"2:37"
"1193","CHC","2,107,655","26,346",29.5,28.7,108,108,3,2,14,"","Frey",1984,"2:39"
"1194","CHW","2,136,988","26,383",28.7,29.7,105,104,3,1,13,"","La Russa",1984,"2:44"
"1195","CIN","1,275,887","15,752",29.3,26.2,104,105,1,1,11,"","Rapp and Rose",1984,"2:42"
"1196","CLE","734,079","9,063",27.4,27.2,102,103,1,1,10,"$4,685,000","Corrales",1984,"2:47"
"1197","DET","2,704,794","32,985",28.5,29.7,99,98,2,6,13,"","Anderson",1984,"2:48"
"1198","HOU","1,229,862","15,183",30.1,31.3,92,92,1,1,17,"","Lillis",1984,"2:35"
"1199","KCR","1,810,018","22,346",29.5,26.9,100,100,1,2,11,"","Howser",1984,"2:36"
"1200","LAD","3,134,824","38,702",26.8,27.5,98,98,0,2,14,"","Lasorda",1984,"2:45"
"1201","MIL","1,608,509","19,858",29.7,31.2,96,97,5,1,10,"","Lachemann",1984,"2:41"
"1202","MIN","1,598,692","19,737",25.7,27.2,104,105,1,1,10,"","Gardner",1984,"2:32"
"1203","MON","1,606,531","19,834",28.8,27.8,96,96,3,4,9,"","Virdon and Fanning",1984,"2:39"
"1204","NYM","1,842,695","22,749",27.2,25.2,99,99,0,4,12,"$9,425,000","Johnson",1984,"2:41"
"1205","NYY","1,821,815","22,492",29.6,29.8,96,95,2,3,17,"$15,868,393","Berra",1984,"2:44"
"1206","OAK","1,353,281","16,707",29.9,27.5,92,93,2,2,11,"","Boros and Moore",1984,"2:45"
"1207","PHI","2,062,693","25,465",28.8,31.9,102,101,2,3,15,"","Owens",1984,"2:36"
"1208","PIT","773,500","9,549",28.3,28.9,100,101,0,1,10,"$4,425,833","Tanner",1984,"2:34"
"1209","SDP","1,983,904","24,493",28.3,27.6,100,100,2,3,9,"","Williams",1984,"2:33"
"1210","SEA","870,372","10,745",27.1,26.1,98,99,0,1,11,"","Crandall and Cottier",1984,"2:47"
"1211","SFG","1,001,545","12,365",29,27.4,97,98,0,2,15,"","Robinson and Ozark",1984,"2:47"
"1212","STL","2,037,448","25,154",28.2,27,98,97,2,3,11,"","Herzog",1984,"2:33"
"1213","TEX","1,102,471","13,781",28.4,29.2,103,103,0,1,9,"","Rader",1984,"2:33"
"1214","TOR","2,110,009","26,049",27.7,27.8,104,103,0,3,12,"","Cox",1984,"2:42"
"1215","ATL","1,350,137","16,668",28.1,28.8,105,106,1,1,12,"$14,807,000","Haas and Wine",1985,"2:37"
"1216","BAL","2,132,387","26,326",29.6,28.9,97,97,2,2,10,"$12,085,712","Altobelli, Ripken and Weaver",1985,"2:50"
"1217","BOS","1,786,633","22,057",29.5,26.8,104,103,2,3,12,"$10,897,560","McNamara",1985,"2:55"
"1218","CAL","2,567,427","32,499",32.3,28.3,100,100,3,1,17,"$14,427,894","Mauch",1985,"2:51"
"1219","CHC","2,161,534","26,686",30.2,28.4,110,110,3,1,16,"$12,702,917","Frey",1985,"2:45"
"1220","CHW","1,669,888","20,616",27.7,28.7,104,104,3,2,9,"$9,846,178","La Russa",1985,"2:53"
"1221","CIN","1,834,619","22,650",31.5,26.4,104,104,1,2,13,"$8,359,917","Rose",1985,"2:33"
"1222","CLE","655,181","8,089",28,27.4,99,100,1,1,9,"$6,551,666","Corrales",1985,"2:51"
"1223","DET","2,286,609","28,230",29.5,29.1,99,98,2,6,11,"$10,348,143","Anderson",1985,"2:50"
"1224","HOU","1,184,314","14,621",29.9,31.4,97,96,1,2,14,"$9,993,051","Lillis",1985,"2:37"
"1225","KCR","2,162,717","26,375",30.9,26.1,99,99,1,1,13,"$10,565,346","Howser",1985,"2:43"
"1226","LAD","3,264,593","40,304",27.7,28,96,96,0,2,15,"$10,967,917","Lasorda",1985,"2:43"
"1227","MIL","1,360,265","17,003",29.9,30.3,99,100,4,2,8,"$11,284,107","Bamberger",1985,"2:44"
"1228","MIN","1,651,814","19,664",26.3,28.1,105,105,2,1,12,"$5,764,821","Gardner and Miller",1985,"2:42"
"1229","MON","1,502,494","18,549",27.7,27.5,95,95,2,3,9,"$9,470,166","Rodgers",1985,"2:41"
"1230","NYM","2,761,601","34,094",28.1,24.7,99,97,1,4,17,"$10,834,762","Johnson",1985,"2:49"
"1231","NYY","2,214,587","27,682",28.8,30.9,98,97,3,3,13,"$14,238,204","Berra and Martin",1985,"2:53"
"1232","OAK","1,334,599","16,894",29.6,28.9,92,92,1,1,12,"$9,058,606","Moore",1985,"2:50"
"1233","PHI","1,830,350","22,597",27.9,30.2,103,103,2,2,15,"$10,644,966","Felske",1985,"2:37"
"1234","PIT","735,900","9,199",28.2,28.5,99,100,0,1,13,"$9,267,500","Tanner",1985,"2:40"
"1235","SDP","2,210,352","27,288",29.7,28.2,99,98,2,7,9,"$11,191,583","Williams",1985,"2:30"
"1236","SEA","1,128,696","13,599",26.9,26.1,100,101,0,1,12,"$4,613,000","Cottier",1985,"2:52"
"1237","SFG","818,697","10,107",27.7,27.7,95,96,0,1,13,"$8,221,714","Davenport and Craig",1985,"2:37"
"1238","STL","2,637,563","32,563",27.7,29,100,99,1,5,14,"$11,817,083","Herzog",1985,"2:43"
"1239","TEX","1,112,497","13,906",29.1,29.2,101,102,0,1,10,"$7,676,500","Rader and Valentine",1985,"2:42"
"1240","TOR","2,468,925","30,862",27.7,28.9,104,102,0,4,17,"$9,329,217","Cox",1985,"2:47"
"1241","ATL","1,387,181","17,126",29.7,28.9,105,106,2,1,14,"$17,102,786","Tanner",1986,"2:43"
"1242","BAL","1,973,176","24,977",29.8,28.8,98,99,2,3,9,"$13,001,258","Weaver",1986,"2:51"
"1243","BOS","2,147,641","26,514",30.6,28,100,100,3,4,14,"$14,402,239","McNamara",1986,"2:53"
"1244","CAL","2,655,872","32,389",31.8,30.3,99,98,2,2,18,"$14,427,258","Mauch",1986,"2:50"
"1245","CHC","1,859,102","23,239",29.8,28.5,107,108,4,2,20,"$17,208,165","Frey, Vukovich and Michael",1986,"2:50"
"1246","CHW","1,424,313","17,584",27.3,28.1,104,104,4,1,13,"$10,418,819","La Russa, Rader and Fregosi",1986,"2:51"
"1247","CIN","1,692,432","20,894",30.8,27.9,104,103,2,2,12,"$11,906,388","Rose",1986,"2:42"
"1248","CLE","1,471,805","18,170",27.5,29.8,98,99,1,2,13,"$7,809,500","Corrales",1986,"2:56"
"1249","DET","1,899,437","23,450",30.5,28.9,100,99,2,3,14,"$12,335,714","Anderson",1986,"2:52"
"1250","HOU","1,734,276","21,411",29.9,30.7,97,96,1,4,14,"$9,873,276","Lanier",1986,"2:40"
"1251","KCR","2,320,794","28,652",30.9,27.3,101,101,1,2,14,"$13,043,698","Howser and Ferraro",1986,"2:43"
"1252","LAD","3,023,208","37,324",28,27.8,93,93,0,2,14,"$15,213,776","Lasorda",1986,"2:48"
"1253","MIL","1,265,041","15,813",29.2,26.2,103,104,2,1,8,"$9,943,642","Bamberger and Trebelhorn",1986,"2:46"
"1254","MIN","1,255,453","15,499",26.8,28.5,101,102,2,1,10,"$9,498,167","Miller and Kelly",1986,"2:51"
"1255","MON","1,128,981","14,112",27.4,27.5,100,100,2,3,10,"$11,103,600","Rodgers",1986,"2:50"
"1256","NYM","2,767,601","34,168",28,25.5,98,96,1,5,15,"$15,393,714","Johnson",1986,"2:55"
"1257","NYY","2,268,030","28,350",29.2,30.3,99,98,2,4,18,"$18,494,253","Piniella",1986,"2:56"
"1258","OAK","1,314,646","15,839",28.5,27.3,92,92,0,1,15,"$9,779,421","Moore, Newman and La Russa",1986,"2:53"
"1259","PHI","1,933,335","24,167",27.8,28.6,103,104,2,2,12,"$11,590,166","Felske",1986,"2:44"
"1260","PIT","1,000,917","12,357",27.2,28.5,102,103,0,2,10,"$10,938,500","Leyland",1986,"2:46"
"1261","SDP","1,805,716","22,293",29.2,28.1,98,98,2,1,12,"$11,380,693","Boros",1986,"2:38"
"1262","SEA","1,029,045","12,549",26.7,26.9,100,101,0,1,12,"$5,958,309","Cottier, Martinez and Williams",1986,"2:52"
"1263","SFG","1,528,748","18,873",26.9,29.3,95,95,1,3,15,"$8,947,000","Craig",1986,"2:49"
"1264","STL","2,471,974","30,518",27.4,28.6,100,98,1,1,8,"$9,875,010","Herzog",1986,"2:45"
"1265","TEX","1,692,002","20,889",27.3,26.4,102,103,0,1,11,"$6,743,119","Valentine",1986,"2:54"
"1266","TOR","2,455,477","30,315",28.4,27.7,103,101,0,3,16,"$12,801,047","Williams",1986,"2:53"
"1267","ATL","1,217,402","15,030",29.6,29.2,104,106,3,2,14,"$17,444,560","Tanner",1987,"2:46"
"1268","BAL","1,835,692","22,386",30.2,27.7,97,98,2,2,12,"$14,250,273","Ripken",1987,"2:53"
"1269","BOS","2,231,551","27,894",28.8,27.1,102,102,2,3,13,"$13,770,171","McNamara",1987,"2:58"
"1270","CAL","2,696,299","33,288",29.3,30.8,97,97,1,1,19,"$13,855,999","Mauch",1987,"2:53"
"1271","CHC","2,035,130","25,439",28.9,27.6,103,104,4,4,17,"$15,473,026","Michael and Lucchesi",1987,"2:58"
"1272","CHW","1,208,060","14,914",27.7,27.6,102,103,2,1,8,"$12,135,343","Fregosi",1987,"2:53"
"1273","CIN","2,185,205","26,978",28.9,28.3,104,103,1,3,14,"$9,281,500","Rose",1987,"2:44"
"1274","CLE","1,077,898","13,307",27.5,30.5,100,101,2,1,12,"$9,033,750","Corrales and Edwards",1987,"2:56"
"1275","DET","2,061,830","25,455",31.2,29.5,96,95,2,4,13,"$12,122,881","Anderson",1987,"2:56"
"1276","HOU","1,909,902","23,579",29.9,31.6,96,96,1,1,14,"$12,758,371","Lanier",1987,"2:43"
"1277","KCR","2,392,471","29,537",29.3,27.4,102,102,1,3,13,"$12,513,056","Gardner and Wathan",1987,"2:48"
"1278","LAD","2,797,409","34,536",28.2,27.9,98,98,0,2,16,"$14,474,737","Lasorda",1987,"2:51"
"1279","MIL","1,909,244","23,571",27.5,26.2,103,102,2,1,8,"$7,293,224","Trebelhorn",1987,"2:57"
"1280","MIN","2,081,976","25,703",27.6,31.4,103,103,3,1,12,"$10,585,000","Kelly",1987,"2:51"
"1281","MON","1,850,324","22,844",27.5,28.2,103,103,1,3,13,"$8,762,052","Rodgers",1987,"2:47"
"1282","NYM","3,034,129","37,458",28,25.8,95,93,1,4,14,"$13,846,714","Johnson",1987,"2:58"
"1283","NYY","2,427,672","29,971",29.8,32.1,99,99,2,5,18,"$19,457,714","Piniella",1987,"2:58"
"1284","OAK","1,678,921","20,727",27.7,28.1,93,93,2,2,18,"$12,730,839","La Russa",1987,"2:56"
"1285","PHI","2,100,110","25,927",28.6,28.2,103,104,1,3,12,"$12,482,997","Felske and Elia",1987,"2:49"
"1286","PIT","1,161,193","14,336",26.4,26.5,100,100,0,1,8,"$8,789,500","Leyland",1987,"2:48"
"1287","SDP","1,454,061","17,951",26.5,27.7,96,97,2,1,12,"$12,065,796","Bowa",1987,"2:44"
"1288","SEA","1,134,255","14,003",26.8,25.9,105,106,1,2,9,"$4,623,000","Williams",1987,"2:46"
"1289","SFG","1,917,168","23,669",27.9,29.1,96,95,0,1,20,"$8,532,500","Craig",1987,"2:53"
"1290","STL","3,072,122","37,927",28.1,27.9,102,102,1,3,12,"$11,758,000","Herzog",1987,"2:55"
"1291","TEX","1,763,053","21,766",26.3,27.6,100,100,0,1,9,"$5,992,718","Valentine",1987,"2:59"
"1292","TOR","2,778,429","34,302",27.8,27.8,102,101,1,3,18,"$10,765,401","Williams",1987,"2:57"
"1293","ATL","848,089","10,735",28.9,27.4,104,106,4,1,14,"$13,065,674","Tanner and Nixon",1988,"2:41"
"1294","BAL","1,660,738","20,759",27.7,27.3,97,98,2,1,13,"$14,389,075","Ripken and Robinson",1988,"2:50"
"1295","BOS","2,464,851","30,430",28.7,28.7,104,104,3,3,13,"$14,687,092","McNamara and Morgan",1988,"2:55"
"1296","CAL","2,340,925","28,900",29.6,27.4,97,97,0,1,17,"$12,249,888","Rojas and Stubing",1988,"2:56"
"1297","CHC","2,089,034","25,476",27.6,27.1,105,105,4,6,17,"$13,956,698","Zimmer",1988,"2:49"
"1298","CHW","1,115,749","13,775",27.3,26.6,100,100,2,1,8,"$8,537,500","Fregosi",1988,"2:51"
"1299","CIN","2,072,528","25,907",27.5,26.7,104,104,1,3,17,"$9,697,409","Rose and Helms",1988,"2:40"
"1300","CLE","1,411,610","17,427",28.1,27,102,103,0,1,8,"$9,261,500","Edwards",1988,"2:47"
"1301","DET","2,081,162","25,693",32.2,31.1,96,96,2,2,12,"$13,432,071","Anderson",1988,"2:54"
"1302","HOU","1,933,505","23,870",29.5,33.1,96,96,2,1,13,"$12,641,167","Lanier",1988,"2:44"
"1303","KCR","2,350,181","29,377",29.5,29,101,101,1,3,15,"$14,850,062","Wathan",1988,"2:52"
"1304","LAD","2,980,262","36,793",29,29.2,98,97,1,1,12,"$17,141,015","Lasorda",1988,"2:50"
"1305","MIL","1,923,238","23,744",28.4,27.2,101,100,2,2,8,"$9,502,000","Trebelhorn",1988,"2:46"
"1306","MIN","3,030,672","37,416",28.4,30,102,102,3,5,13,"$13,308,966","Kelly",1988,"2:50"
"1307","MON","1,478,659","18,255",28.2,29,104,104,2,1,11,"$10,046,833","Rodgers",1988,"2:51"
"1308","NYM","3,055,445","38,193",27.8,26.6,95,93,1,4,13,"$15,401,814","Johnson",1988,"2:49"
"1309","NYY","2,633,701","32,921",30.5,32.3,99,99,2,3,17,"$20,371,152","Martin and Piniella",1988,"3:02"
"1310","OAK","2,287,335","28,239",28,28.8,97,96,1,5,15,"$10,653,833","La Russa",1988,"2:54"
"1311","PHI","1,990,041","24,568",29,29,101,103,1,2,11,"$13,900,500","Elia and Vukovich",1988,"2:50"
"1312","PIT","1,866,713","23,046",26,26.2,98,98,0,3,8,"$7,128,500","Leyland",1988,"2:49"
"1313","SDP","1,506,896","18,604",27.2,28,99,99,2,1,10,"$10,723,502","Bowa and McKeon",1988,"2:39"
"1314","SEA","1,022,398","12,622",27,26.4,104,105,1,1,9,"$7,754,950","Williams and Snyder",1988,"2:46"
"1315","SFG","1,785,297","22,041",28.3,31.1,96,95,0,2,20,"$12,822,500","Craig",1988,"2:48"
"1316","STL","2,892,799","35,714",28.1,28.9,101,101,1,4,13,"$13,192,500","Herzog",1988,"2:47"
"1317","TEX","1,581,901","19,530",26.7,28,102,102,0,1,9,"$6,385,631","Valentine",1988,"2:55"
"1318","TOR","2,595,175","32,039",27.4,28.9,100,98,0,1,15,"$14,412,725","Williams",1988,"2:54"
"1319","ATL","984,930","12,467",28.1,25.4,102,103,2,1,12,"$11,180,334","Nixon",1989,"2:43"
"1320","BAL","2,535,208","31,299",27.1,26.9,96,97,1,2,8,"$10,916,401","Robinson",1989,"3:01"
"1321","BOS","2,510,012","30,988",29.4,29.5,107,106,3,2,10,"$18,556,748","Morgan",1989,"2:57"
"1322","CAL","2,647,291","32,683",29.8,29.1,98,98,1,2,16,"$15,097,833","Rader",1989,"2:51"
"1323","CHC","2,491,942","30,765",27.7,27.2,108,108,3,4,10,"$11,918,000","Zimmer",1989,"2:50"
"1324","CHW","1,045,651","13,071",27.7,26.4,97,98,2,1,11,"$8,565,410","Torborg",1989,"2:56"
"1325","CIN","1,979,320","24,436",28,28.1,104,103,1,3,17,"$11,717,000","Rose and Helms",1989,"2:40"
"1326","CLE","1,285,542","15,871",27,28.5,101,102,0,2,6,"$9,894,500","Edwards and Hart",1989,"2:44"
"1327","DET","1,543,656","19,057",31,31,98,99,2,1,12,"$15,669,304","Anderson",1989,"2:55"
"1328","HOU","1,834,908","22,377",29,33,97,97,1,2,13,"$15,579,500","Howe",1989,"2:53"
"1329","KCR","2,477,700","30,589",30.5,27.7,100,100,1,2,16,"$18,914,068","Wathan",1989,"2:46"
"1330","LAD","2,944,653","36,354",29.8,28.5,99,98,1,4,14,"$21,071,562","Lasorda",1989,"2:52"
"1331","MIL","1,970,735","24,330",28.5,27.9,99,99,2,1,9,"$12,716,000","Trebelhorn",1989,"2:49"
"1332","MIN","2,277,438","28,117",29.4,28,107,107,1,2,9,"$16,806,666","Kelly",1989,"2:44"
"1333","MON","1,783,533","22,019",28.9,30.5,101,101,3,2,14,"$13,807,389","Rodgers",1989,"2:55"
"1334","NYM","2,918,710","36,033",27.5,27.5,95,93,1,2,16,"$19,885,071","Johnson",1989,"2:51"
"1335","NYY","2,170,485","26,796",28.6,29.2,99,100,2,2,12,"$17,114,375","Green and Dent",1989,"2:52"
"1336","OAK","2,667,225","32,929",29.3,30,97,95,2,5,17,"$16,314,265","La Russa",1989,"2:51"
"1337","PHI","1,861,985","22,987",29,27.8,99,101,1,2,11,"$10,779,000","Leyva",1989,"2:47"
"1338","PIT","1,374,141","16,965",27,28.1,96,96,0,1,10,"$13,992,500","Leyland",1989,"2:49"
"1339","SDP","2,009,031","24,803",27.9,29.2,101,100,2,3,13,"$15,295,000","McKeon",1989,"2:43"
"1340","SEA","1,298,443","16,030",26.6,26.1,103,104,3,1,11,"$10,099,500","Lefebvre",1989,"2:48"
"1341","SFG","2,059,701","25,428",28.5,31.6,97,96,1,3,19,"$15,040,834","Craig",1989,"2:46"
"1342","STL","3,080,980","37,120",29.3,28.2,103,103,1,4,13,"$16,078,833","Herzog",1989,"2:47"
"1343","TEX","2,043,993","25,234",27.1,29.8,102,102,2,4,17,"$11,893,781","Valentine",1989,"2:59"
"1344","TOR","3,375,883","41,678",27.9,29,95,94,0,2,18,"$16,586,666","Williams and Gaston",1989,"2:54"
"1345","ATL","980,129","12,100",27.4,25.8,105,106,2,1,13,"$15,065,501","Nixon and Cox",1990,"2:48"
"1346","BAL","2,415,189","30,190",27.4,26.2,97,97,1,2,10,"$10,100,084","Robinson",1990,"3:03"
"1347","BOS","2,528,986","31,222",28.9,30.6,104,104,2,3,13,"$20,858,333","Morgan",1990,"2:58"
"1348","CAL","2,555,688","31,552",29.9,28.1,97,97,2,2,17,"$22,417,500","Rader",1990,"2:58"
"1349","CHC","2,243,791","27,701",28.2,26.1,108,108,3,3,8,"$14,599,000","Zimmer",1990,"2:44"
"1350","CHW","2,002,357","25,029",27.7,24.9,98,98,2,2,11,"$10,721,500","Torborg",1990,"3:01"
"1351","CIN","2,400,892","29,641",27.5,27.4,105,105,1,5,13,"$14,470,000","Piniella",1990,"2:42"
"1352","CLE","1,225,240","15,126",27.3,28.1,99,100,0,3,10,"$15,208,000","McNamara",1990,"2:45"
"1353","DET","1,495,785","18,466",30.7,30.3,101,102,2,2,12,"$18,393,238","Anderson",1990,"2:59"
"1354","HOU","1,310,927","16,184",28.4,31.8,97,98,1,1,11,"$18,752,500","Howe",1990,"2:48"
"1355","KCR","2,244,956","27,716",29.8,27.3,98,98,1,1,18,"$24,161,084","Wathan",1990,"2:50"
"1356","LAD","3,002,396","37,067",29.7,28.2,97,97,1,2,16,"$22,018,704","Lasorda",1990,"2:51"
"1357","MIL","1,752,900","21,641",29.5,28.6,99,99,2,1,8,"$20,149,167","Trebelhorn",1990,"2:56"
"1358","MIN","1,751,584","21,624",29.5,27.1,106,106,1,1,5,"$15,272,000","Kelly",1990,"2:41"
"1359","MON","1,373,087","16,952",27.7,29.3,96,96,2,2,9,"$17,334,888","Rodgers",1990,"2:54"
"1360","NYM","2,732,745","33,738",27.5,28,100,99,0,3,13,"$21,922,834","Johnson and Harrelson",1990,"2:52"
"1361","NYY","2,006,436","24,771",28.2,29.1,100,101,1,1,10,"$21,312,318","Dent and Merrill",1990,"2:57"
"1362","OAK","2,900,217","35,805",29.1,31.7,95,94,3,5,19,"$20,087,501","La Russa",1990,"2:54"
"1363","PHI","1,992,484","24,599",28.6,26.5,99,100,0,1,12,"$13,740,167","Leyva",1990,"2:52"
"1364","PIT","2,049,908","25,308",27.7,28.9,96,95,0,3,12,"$15,556,000","Leyland",1990,"2:48"
"1365","SDP","1,856,396","22,918",28.7,29.5,101,101,2,3,13,"$17,788,334","McKeon and Riddoch",1990,"2:46"
"1366","SEA","1,509,727","18,639",27.9,26.9,100,100,3,2,12,"$12,867,667","Lefebvre",1990,"2:52"
"1367","SFG","1,975,528","24,389",29.1,29.5,96,96,1,4,17,"$21,565,333","Craig",1990,"2:50"
"1368","STL","2,573,225","31,768",29.4,29.8,100,100,2,1,12,"$21,048,334","Herzog, Schoendienst and Torre",1990,"2:47"
"1369","TEX","2,057,911","25,096",27.5,30.3,100,100,2,1,12,"$15,597,872","Valentine",1990,"2:57"
"1370","TOR","3,885,284","47,966",26.9,29,106,105,0,3,14,"$19,259,334","Gaston",1990,"2:56"
"1371","ATL","2,140,217","26,422",28,27.1,106,106,2,1,14,"$18,403,500","Cox",1991,"2:52"
"1372","BAL","2,552,753","31,515",28.2,27.4,96,97,2,1,10,"$17,519,000","Robinson and Oates",1991,"3:02"
"1373","BOS","2,562,435","31,635",28.9,30.8,105,105,1,3,13,"$35,167,500","Morgan",1991,"2:59"
"1374","CAL","2,416,236","29,830",30.9,27.9,99,100,1,2,12,"$33,060,001","Rader and Rodgers",1991,"2:53"
"1375","CHC","2,314,250","27,883",29,27.5,104,105,3,3,11,"$23,380,667","Zimmer, Altobelli and Essian",1991,"2:51"
"1376","CHW","2,934,154","36,224",27.8,26.7,98,97,3,3,15,"$16,919,667","Torborg",1991,"3:07"
"1377","CIN","2,372,377","29,289",28.2,27.6,104,104,1,5,12,"$26,305,333","Piniella",1991,"2:48"
"1378","CLE","1,051,863","12,828",25.5,26.8,101,102,1,1,10,"$17,635,000","McNamara and Hargrove",1991,"2:46"
"1379","DET","1,641,661","20,267",29.2,30.8,102,102,1,1,9,"$23,838,333","Anderson",1991,"3:06"
"1380","HOU","1,196,152","14,767",26.1,26.4,93,94,2,2,12,"$12,852,500","Howe",1991,"2:53"
"1381","KCR","2,161,537","26,686",28.6,27.6,100,101,1,1,12,"$26,319,834","Wathan, Schaefer and McRae",1991,"2:55"
"1382","LAD","3,348,170","41,335",30.2,30.2,98,97,2,5,16,"$32,790,664","Lasorda",1991,"2:59"
"1383","MIL","1,478,729","18,484",30.3,27,98,98,2,1,9,"$23,115,500","Trebelhorn",1991,"2:57"
"1384","MIN","2,293,842","28,319",29.1,28.6,105,104,2,3,8,"$23,361,833","Kelly",1991,"2:47"
"1385","MON","934,742","13,746",27.7,28.4,99,99,1,2,8,"$10,732,333","Rodgers and Runnells",1991,"2:53"
"1386","NYM","2,284,484","27,860",29.1,28,99,99,0,2,14,"$32,590,001","Harrelson and Cubbage",1991,"2:54"
"1387","NYY","1,863,733","23,009",27.7,29.5,100,101,0,1,10,"$27,344,168","Merrill",1991,"3:00"
"1388","OAK","2,713,493","33,500",29.9,30.9,94,93,3,5,19,"$36,999,167","La Russa",1991,"3:02"
"1389","PHI","2,050,012","24,699",29,26.7,99,99,0,1,12,"$22,487,332","Leyva and Fregosi",1991,"2:50"
"1390","PIT","2,065,302","24,587",28.1,28.4,99,97,0,2,10,"$23,634,667","Leyland",1991,"2:48"
"1391","SDP","1,804,289","22,275",28,29,103,103,1,2,12,"$22,150,001","Riddoch",1991,"2:47"
"1392","SEA","2,147,905","26,517",28.1,27.5,100,100,3,1,10,"$15,691,833","Lefebvre",1991,"2:54"
"1393","SFG","1,737,478","21,450",28.4,28.9,96,97,0,1,17,"$30,967,666","Craig",1991,"2:50"
"1394","STL","2,448,699","29,151",28.5,29.4,100,100,2,3,11,"$21,860,001","Torre",1991,"2:45"
"1395","TEX","2,297,720","28,367",27.7,29,98,99,3,3,14,"$18,224,500","Valentine",1991,"3:05"
"1396","TOR","4,001,527","49,402",27.6,28.2,104,103,1,3,16,"$19,902,417","Gaston and Tenace",1991,"2:55"
"1397","ATL","3,077,400","37,993",28.4,27.5,107,105,2,4,16,"$34,625,333","Cox",1992,"2:50"
"1398","BAL","3,567,819","44,047",28.4,27.9,101,101,2,3,9,"$23,891,667","Oates",1992,"3:04"
"1399","BOS","2,468,574","30,476",28.7,31.5,106,106,1,2,13,"$43,610,584","Hobson",1992,"3:01"
"1400","CAL","2,065,444","25,499",28.1,28.8,100,100,1,1,11,"$34,749,334","Rodgers and Wathan",1992,"2:51"
"1401","CHC","2,126,720","26,256",28.3,27.2,103,103,3,2,11,"$29,829,686","Lefebvre",1992,"2:45"
"1402","CHW","2,681,156","32,697",28.7,28.9,99,98,3,2,14,"$30,160,833","Lamont",1992,"2:58"
"1403","CIN","2,315,946","28,592",27.9,28.1,104,104,1,2,11,"$33,431,499","Piniella",1992,"2:48"
"1404","CLE","1,224,094","15,112",25.7,27,98,99,1,3,11,"$9,373,044","Hargrove",1992,"2:55"
"1405","DET","1,423,963","17,800",30,29.6,100,100,1,1,7,"$27,322,834","Anderson",1992,"3:02"
"1406","HOU","1,211,412","14,956",26.4,27.1,95,96,2,2,10,"$15,407,500","Howe",1992,"2:54"
"1407","KCR","1,867,689","23,058",28.9,27.1,102,102,1,1,13,"$33,893,834","McRae",1992,"2:47"
"1408","LAD","2,473,266","30,534",28.4,31.2,99,99,2,1,16,"$44,788,166","Lasorda",1992,"2:54"
"1409","MIL","1,857,351","22,930",29.7,27.5,98,98,2,1,12,"$31,013,667","Garner",1992,"2:57"
"1410","MIN","2,482,428","30,647",28.7,27.7,102,102,1,3,6,"$28,027,834","Kelly",1992,"2:53"
"1411","MON","1,669,127","20,607",27.4,28,100,99,2,2,12,"$15,822,334","Runnells and Alou",1992,"2:54"
"1412","NYM","1,779,534","21,970",30,28.2,99,100,1,1,14,"$44,602,002","Torborg",1992,"2:56"
"1413","NYY","1,748,737","21,589",28.2,29.5,99,99,0,1,11,"$37,652,334","Showalter",1992,"3:00"
"1414","OAK","2,494,160","30,792",30.1,32,94,94,4,3,20,"$41,035,000","La Russa",1992,"3:03"
"1415","PHI","1,927,448","23,796",27.7,26.8,100,100,0,2,12,"$24,492,834","Fregosi",1992,"2:48"
"1416","PIT","1,829,395","22,585",28.7,29.2,100,99,0,2,9,"$33,944,167","Leyland",1992,"2:51"
"1417","SDP","1,721,406","21,252",28.4,29.1,102,102,1,5,9,"$26,854,167","Riddoch and Riggleman",1992,"2:46"
"1418","SEA","1,651,367","20,387",28.3,27.4,100,100,3,2,12,"$23,304,833","Plummer",1992,"2:54"
"1419","SFG","1,560,998","19,272",28.1,28.2,95,95,0,1,10,"$33,163,168","Craig",1992,"2:51"
"1420","STL","2,418,483","29,858",28.6,28.7,97,97,2,4,12,"$27,583,836","Torre",1992,"2:51"
"1421","TEX","2,198,231","27,139",27.3,29.6,97,97,2,3,15,"$30,128,167","Valentine and Harrah",1992,"3:01"
"1422","TOR","4,028,318","49,732",29.3,30,104,103,3,3,20,"$44,788,666","Gaston",1992,"3:00"
"1423","ATL","3,884,720","47,960",28.8,26.8,100,99,4,5,17,"$41,641,417","Cox",1993,"2:49"
"1424","BAL","3,644,965","45,000",29.4,28.4,104,103,3,2,13,"$29,096,500","Oates",1993,"3:03"
"1425","BOS","2,422,021","29,901",29.6,30.6,106,107,1,1,11,"$37,120,583","Hobson",1993,"2:59"
"1426","CAL","2,057,460","25,401",27.2,28.8,102,103,0,1,10,"$28,588,334","Rodgers",1993,"2:53"
"1427","CHC","2,653,763","32,363",28,28.3,97,97,1,2,10,"$39,386,666","Lefebvre",1993,"2:43"
"1428","CHW","2,581,091","31,865",28.9,26.6,98,97,3,2,18,"$39,696,166","Lamont",1993,"2:53"
