"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"100","CHC","885,063","11,347",27.7,26.4,101,101,3,0,1,"$169,883","McCarthy",1926,"0"
"101","CHW","710,339","8,992",28.9,28.1,97,96,4,0,1,"$160,600","Collins",1926,"0"
"102","CIN","672,987","8,740",29.9,30.7,97,96,2,0,0,"$201,000","Hendricks",1926,"0"
"103","CLE","627,426","7,843",29.1,28.5,101,101,2,0,1,"$90,100","Speaker",1926,"0"
"104","DET","711,914","8,789",28.2,27.8,101,100,4,0,2,"$132,900","Cobb",1926,"0"
"105","NYG","700,362","9,215",27.5,28.7,98,97,8,0,4,"$218,272","McGraw",1926,"0"
"106","NYY","1,027,675","13,702",27.1,30.7,99,96,6,0,3,"$274,500","Huggins",1926,"0"
"107","PHA","714,508","10,063",27.5,30.1,105,103,4,0,5,"$179,600","Mack",1926,"0"
"108","PHI","240,600","3,166",30.2,29,108,111,0,0,1,"$135,300","Fletcher",1926,"0"
"109","PIT","798,542","10,108",27.8,30.4,104,102,5,0,4,"$216,800","McKechnie",1926,"0"
"110","SLB","283,986","3,595",29.8,28.4,104,106,1,0,0,"$156,600","Sisler",1926,"0"
"111","STL","668,428","8,461",26.8,28.8,104,102,6,0,2,"$180,500","Hornsby",1926,"0"
"112","WSH","551,580","7,454",29.3,31.5,98,96,5,0,4,"$200,100","Harris",1926,"0"
"113","BOS","305,275","3,914",27.5,25,97,102,1,0,3,"$100,900","Carrigan",1927,"0"
"114","BRO","637,230","8,611",29.9,31.9,100,101,2,0,0,"$231,708","Robinson",1927,"0"
"115","BSN","288,685","3,901",29.8,29,92,95,1,0,0,"$170,148","Bancroft",1927,"0"
"116","CHC","1,159,168","14,861",28,27.3,102,100,2,0,2,"$190,000","McCarthy",1927,"0"
"117","CHW","614,423","8,192",27.9,28.3,98,98,3,0,1,"$167,850","Schalk",1927,"0"
"118","CIN","442,164","5,527",29.8,31.2,98,98,2,0,0,"$215,900","Hendricks",1927,"0"
"119","CLE","373,138","4,846",28.3,27,101,101,1,0,2,"$83,700","McCallister",1927,"0"
"120","DET","773,716","9,919",27.6,27.3,101,101,3,0,2,"$106,400","Moriarty",1927,"0"
"121","NYG","858,190","11,597",28.1,28.5,100,99,7,0,4,"$216,408","McGraw and Hornsby",1927,"0"
"122","NYY","1,164,015","15,117",27.8,31,98,94,6,0,3,"$283,000","Huggins",1927,"0"
"123","PHA","605,529","7,864",30.4,31.3,105,102,7,0,5,"$230,267","Mack",1927,"0"
"124","PHI","305,420","3,916",30.7,29.8,96,100,0,0,1,"$138,850","McInnis",1927,"0"
"125","PIT","869,720","11,009",27.7,31.4,108,106,5,0,6,"$206,550","Bush",1927,"0"
"126","SLB","247,879","3,178",31.6,29.3,103,105,1,0,1,"$148,000","Howley",1927,"0"
"127","STL","749,340","9,367",27.8,31.4,105,103,7,0,3,"$230,550","O'Farrell",1927,"0"
"128","WSH","528,976","6,696",29.9,27.6,98,98,6,0,5,"$189,100","Harris",1927,"0"
"129","BOS","646,459","8,619",28.5,28.3,105,103,4,4,9,"$186,650","Cronin",1928,"0"
"130","BRO","663,087","8,961",29.1,30.7,103,104,4,3,12,"","Grimes",1928,"0"
"131","BSN","341,149","4,549",28.6,30.4,90,90,1,2,10,"","Stengel",1928,"0"
"132","CHC","951,640","12,359",29.3,29.7,103,101,4,4,15,"","Grimm and Hartnett",1928,"0"
"133","CHW","338,278","4,634",30.2,29.3,103,103,2,1,10,"$208,400","Dykes",1928,"0"
"134","CIN","706,756","9,179",28.1,29.1,98,97,1,5,11,"","McKechnie",1928,"0"
